Symbol,Date,Percentage
AMZN,29-06-2022,108.92
AMZN,28-06-2022,107.40
AMZN,27-06-2022,113.22
AMZN,24-06-2022,116.46
AMZN,23-06-2022,112.44
AMZN,22-06-2022,108.95
AMZN,21-06-2022,108.68
AMZN,17-06-2022,106.22
AMZN,16-06-2022,103.66
AMZN,15-06-2022,107.67
AMZN,14-06-2022,102.31
AMZN,13-06-2022,103.67
AMZN,10-06-2022,109.65
AMZN,09-06-2022,116.15
AMZN,08-06-2022,121.18
AMZN,07-06-2022,123.00
AMZN,06-06-2022,124.79
AMZN,03-06-2022,122.35
AMZN,02-06-2022,125.51
AMZN,01-06-2022,121.68
AMZN,31-05-2022,120.21
AMZN,27-05-2022,115.15
AMZN,26-05-2022,111.08
AMZN,25-05-2022,106.78
AMZN,24-05-2022,104.10
AMZN,23-05-2022,107.56
AMZN,20-05-2022,107.59
AMZN,19-05-2022,107.32
AMZN,18-05-2022,107.11
AMZN,17-05-2022,115.37
AMZN,16-05-2022,110.81
AMZN,13-05-2022,113.06
AMZN,12-05-2022,106.93
AMZN,11-05-2022,105.37
AMZN,10-05-2022,108.86
AMZN,09-05-2022,108.79
AMZN,06-05-2022,114.77
AMZN,05-05-2022,116.41
AMZN,04-05-2022,125.93
AMZN,03-05-2022,124.25
AMZN,02-05-2022,124.50
AMZN,29-04-2022,124.28
AMZN,28-04-2022,144.60
AMZN,27-04-2022,138.17
AMZN,26-04-2022,139.39
AMZN,25-04-2022,146.07
AMZN,22-04-2022,144.35
AMZN,21-04-2022,148.30
AMZN,20-04-2022,154.00
AMZN,19-04-2022,158.12
AMZN,18-04-2022,152.79
AMZN,14-04-2022,151.71
AMZN,13-04-2022,155.54
AMZN,12-04-2022,150.79
AMZN,11-04-2022,151.12
AMZN,08-04-2022,154.46
AMZN,07-04-2022,157.78
AMZN,06-04-2022,158.76
AMZN,05-04-2022,164.06
AMZN,04-04-2022,168.35
AMZN,01-04-2022,163.56
AMZN,31-03-2022,163.00
AMZN,30-03-2022,166.30
AMZN,29-03-2022,169.32
AMZN,28-03-2022,168.99
AMZN,25-03-2022,164.77
AMZN,24-03-2022,163.65
AMZN,23-03-2022,163.41
AMZN,22-03-2022,164.89
AMZN,21-03-2022,161.49
AMZN,18-03-2022,161.25
AMZN,17-03-2022,157.24
AMZN,16-03-2022,153.10
AMZN,15-03-2022,147.37
AMZN,14-03-2022,141.85
AMZN,11-03-2022,145.52
AMZN,10-03-2022,146.82
AMZN,09-03-2022,139.28
AMZN,08-03-2022,136.01
AMZN,07-03-2022,137.45
AMZN,04-03-2022,145.64
AMZN,03-03-2022,147.90
AMZN,02-03-2022,152.05
AMZN,01-03-2022,151.14
AMZN,28-02-2022,153.56
